Name,Price,Description
Activecampaign Email,39,\Provides comprehensive access to the ActiveCampaign API for managing contacts  email campaigns  ma
Airtable Db,49,\Seamlessly manage and automate your Airtable databases. This skill empowers you to perform compreh
Anthropic Assistant,49,\Activates the Anthropic Claude 3 model via the Messages API to perform advanced reasoning  text an
Asana Productivity,29,\Supercharge your productivity by managing Asana tasks  projects  and workflows directly from your 
Asana Tasks,29,\Seamlessly manage your Asana workflows by creating  updating  and searching for tasks  projects  a
Attio Crm,59,Supercharge your customer relationship management by seamlessly integrating with Attio. This skill e
Aws Manager,69,\Provides comprehensive management of Amazon Web Services (AWS) resources. Use this skill for provi
Azure Manager,69,\Manages Microsoft Azure resources  including VMs  storage  and resource groups. Use this skill to 
Beehiiv Newsletter,49,\Provides comprehensive management of Beehiiv newsletters  including publications  posts  subscribe
Bigcommerce Store,49,\Seamlessly manage your BigCommerce store with comprehensive API-driven control. This skill empower
Bitly Links,19,\Supercharge your link management with the Bitly API. This skill allows you to shorten URLs  create
Brevo Email,39,\Powerfully manage your entire Brevo email marketing and transactional messaging workflow. This ski
Calcom Scheduler,19,\Seamlessly manage your entire scheduling workflow on Cal.com. This skill empowers you to create an
Chargebee Billing,49,\Provides comprehensive  automated control over the Chargebee billing and subscription management p
Claude Assistant,39,\Unlock advanced reasoning and analysis by integrating Anthropic's Claude 3.5 Sonnet. This skill en
Clickup Manager,49,Supercharge your productivity by managing ClickUp workspaces  projects  and tasks directly through c
Clickup Productivity,49,\Automate your entire ClickUp workflow. This skill enables you to create  retrieve  update  and del
Close Crm,59,Full Close CRM management — leads  contacts  opportunities  activities  email sequences  call loggin
Cloudinary Media,69,\Seamlessly manage your entire media lifecycle on Cloudinary. This skill enables you to upload  tra
Cold Outreach Sequencer,49,\Drives scalable B2B sales development by automating hyper-personalized cold email campaigns. It re
Competitor Intelligence Monitor,49,A comprehensive intelligence agent that automates competitor monitoring across websites  pricing  pr
Contentful Cms,49,\Seamlessly manage your entire Contentful stack. This skill empowers you to create  edit  publish  
Convertkit Email,39,\Provides comprehensive management of ConvertKit email marketing campaigns. Use this skill to handl
Copper Crm,59,\Seamlessly manage your entire Copper CRM workflow. This skill empowers you to create  retrieve  up
Crisp Support,29,\Manages customer support and engagement using the Crisp API. This skill is ideal for handling conv
Discord Manager,49,\Provides comprehensive management of Discord servers  enabling automated moderation  user engageme
Dropbox Storage,19,\Seamlessly manage and synchronize files  folders  and shared links with the Dropbox API. Use this 
Dub Links,19,\Supercharge your link management with the Dub.co API. Create  track  and manage branded short link
Ecwid Store,49,\Seamlessly manage your Ecwid e-commerce store with comprehensive support for products  orders  cus
Elevenlabs Voice,49,\Unlock hyper-realistic text-to-speech (TTS) and voice cloning with the ElevenLabs API. Use this sk
Figma Design,39,Seamlessly integrate with Figma to manage design files  components  and prototypes. Use this skill t
Firebase Backend,49,\Provides comprehensive management of Firebase services via REST API  enabling interaction with Fir
Freshsales Crm,59,Supercharge your sales pipeline by managing contacts  accounts  deals  and tasks in Freshsales CRM. 
Gcloud Manager,69,'Seamlessly manage your entire Google Cloud Platform infrastructure. This skill empowers you to cont
Gemini Assistant,49,A comprehensive skill for leveraging Google's Gemini 2.0 family of models (Flash and Pro) for advanc
Github Repos,49,\Comprehensive GitHub repository management via the REST API. This skill enables end-to-end workflo
Gitlab Repos,49,\Comprehensive GitLab project and repository management. Use this skill to create  list  and manage
